         128502091 function calls (127962783 primitive calls) in 2091.010 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    60000    1.296    0.000  101.799    0.002 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\transforms.py:93(__call__)
    62522    1.283    0.000    1.283    0.000 {built-in method _winapi.PeekNamedPipe}
    15630    1.280    0.000    1.280    0.000 {built-in method torch.max}
    60000    1.269    0.000    1.269    0.000 {method 'to' of 'torch._C._TensorBase' objects}
    50000    1.259    0.000    1.259    0.000 {built-in method torch.rand}
    50000    1.199    0.000    4.056    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\transforms.py:1235(get_params)
   894857    1.166    0.000    1.166    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\Image.py:481(__init__)
   100000    1.147    0.000    2.171    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\_functional_pil.py:253(_parse_fill)
    15630    1.137    0.000   22.950    0.001 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\optim\sgd.py:231(_single_tensor_sgd)
    62541    1.120    0.000   10.542    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\autograd\profiler.py:636(__exit__)
   664857    1.112    0.000    2.330    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\jit\_trace.py:1110(is_tracing)
  1970487    1.104    0.000    1.105    0.000 {method 'join' of 'str' objects}
    50000    1.104    0.000    4.712    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\Image.py:2209(rotate)
    50000    1.063    0.000    8.626    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\functional.py:1143(affine)
   664857    1.055    0.000    1.055    0.000 {built-in method torch._C._is_tracing}
    50000    1.039    0.000   13.464    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\ImageEnhance.py:65(__init__)
   210000    1.027    0.000    5.334    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\functional.py:64(get_dimensions)
    15630    1.005    0.000    1.367    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\optim\sgd.py:36(_init_group)
   200000    0.988    0.000    0.988    0.000 {method 'convert' of 'ImagingCore' objects}
    93789    0.946    0.000  193.924    0.002 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\nn\modules\conv.py:459(forward)
   125052    0.928    0.000   85.852    0.001 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\nn\functional.py:1460(relu)
    62522    0.920    0.000    0.920    0.000 {method 'set_' of 'torch._C._TensorBase' objects}
   210000    0.918    0.000    2.025    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\_functional_pil.py:22(get_dimensions)
    15630    0.916    0.000    2.425    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\optim\optimizer.py:776(zero_grad)
   520000    0.903    0.000    1.391    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\Image.py:1285(getbands)
    50000    0.899    0.000    1.304    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\functional.py:1014(_get_inverse_affine_matrix)
    31260    0.898    0.000    6.869    0.000 C:\Users\dell\OneDrive\Bureau\segmentation\segmentation\loss_alix\hierarchical\cifar.py:102(decimal_to_filtered_label)
    60002    0.890    0.000  109.680    0.002 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\datasets\cifar.py:103(__getitem__)
      124    0.885    0.007  928.745    7.490 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\reduction.py:58(dump)
    60000    0.873    0.000    0.873    0.000 {method 'permute' of 'torch._C._TensorBase' objects}
    60000    0.872    0.000    0.872    0.000 {method 'any' of 'torch._C._TensorBase' objects}
   380003    0.867    0.000    1.111    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\Image.py:2857(_check_size)
  2284445    0.865    0.000    0.865    0.000 {method 'add' of 'set' objects}
    50000    0.863    0.000    3.187    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\transforms.py:1479(get_params)
   100000    0.835    0.000    5.045    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\Image.py:2611(transform)
    60000    0.828    0.000    0.828    0.000 {built-in method torch.from_numpy}
    60000    0.798    0.000    0.798    0.000 {method 'sub_' of 'torch._C._TensorBase' objects}
    93789    0.793    0.000  209.408    0.002 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_jit_internal.py:478(fn)
    31281    0.782    0.000   68.287    0.002 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\utils\data\dataloader.py:625(__next__)
   100000    0.779    0.000    1.870    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\Image.py:2701(__transformer)
    60000    0.778    0.000    2.475    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\Image.py:703(tobytes)
    60000    0.773    0.000    9.860    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\functional.py:340(normalize)
